location,age_group_id,mean
BRA,18,0.666
BRA,19,0.665
BRA,20,0.634
BRA,21,0.585
BRB,34,0.301
BRB,36,0.288
BRB,6,0.298
BRB,7,0.319
BRB,8,0.232
BRB,9,0.384
BRB,38,0.638
BRB,10,0.493
BRB,11,0.569
BRB,12,0.63
BRB,13,0.7
BRB,14,0.741
BRB,15,0.771
BRB,16,0.794
BRB,17,0.767
BRB,18,0.622
BRB,19,0.704
BRB,20,0.791
BRB,21,0.765
BRN,34,0.063
BRN,36,0.061
BRN,6,0.063
BRN,7,0.07
BRN,8,0.05
BRN,9,0.086
BRN,38,0.206
BRN,10,0.129
BRN,11,0.162
BRN,12,0.193
BRN,13,0.226
BRN,14,0.244
BRN,15,0.274
BRN,16,0.29
BRN,17,0.294
BRN,18,0.281
BRN,19,0.271
BRN,20,0.242
BRN,21,0.195
BTN,34,0.136
BTN,36,0.124
BTN,6,0.126
BTN,7,0.136
BTN,8,0.099
BTN,9,0.169
BTN,38,0.353
BTN,10,0.241
BTN,11,0.299
BTN,12,0.349
BTN,13,0.388
BTN,14,0.414
BTN,15,0.452
BTN,16,0.467
BTN,17,0.475
BTN,18,0.452
BTN,19,0.43
BTN,20,0.392
BTN,21,0.34
BWA,34,0.148
BWA,36,0.144
BWA,6,0.156
BWA,7,0.154
BWA,8,0.119
BWA,9,0.189
BWA,38,0.378
BWA,10,0.263
BWA,11,0.306
BWA,12,0.389
BWA,13,0.433
BWA,14,0.448
BWA,15,0.492
BWA,16,0.461
BWA,17,0.465
BWA,18,0.461
BWA,19,0.468
BWA,20,0.454
BWA,21,0.39
CAF,34,0.1
CAF,36,0.107
CAF,6,0.135
CAF,7,0.119
CAF,8,0.07
CAF,9,0.111
CAF,38,0.213
CAF,10,0.167
CAF,11,0.203
CAF,12,0.224
CAF,13,0.263
CAF,14,0.239
CAF,15,0.256
CAF,16,0.257
CAF,17,0.26
CAF,18,0.243
CAF,19,0.232
CAF,20,0.207
CAF,21,0.162
CAN,34,0.19
CAN,36,0.238
CAN,6,0.218
CAN,7,0.308
CAN,8,0.23
CAN,9,0.366
CAN,38,0.565
CAN,10,0.467
CAN,11,0.532
CAN,12,0.566
CAN,13,0.578
CAN,14,0.607
CAN,15,0.639
CAN,16,0.659
CAN,17,0.679
CAN,18,0.675
CAN,19,0.676
CAN,20,0.648
CAN,21,0.604
CHE,34,0.197
CHE,36,0.185
CHE,6,0.191
CHE,7,0.176
CHE,8,0.176
CHE,9,0.283
CHE,38,0.482
CHE,10,0.366
CHE,11,0.44
CHE,12,0.454
CHE,13,0.476
CHE,14,0.52
CHE,15,0.553
CHE,16,0.589
CHE,17,0.602
CHE,18,0.631
CHE,19,0.63
CHE,20,0.643
CHE,21,0.576
CHL,34,0.356
CHL,36,0.344
CHL,6,0.347
CHL,7,0.365
CHL,8,0.308
CHL,9,0.429
CHL,38,0.659
CHL,10,0.514
CHL,11,0.642
CHL,12,0.662
CHL,13,0.715
CHL,14,0.723
CHL,15,0.762
CHL,16,0.803
CHL,17,0.77
CHL,18,0.747
CHL,19,0.751
CHL,20,0.721
CHL,21,0.634
CHN,34,0.196
CHN,36,0.188
CHN,6,0.222
CHN,7,0.206
CHN,8,0.126
CHN,9,0.156
CHN,38,0.279
CHN,10,0.207
CHN,11,0.245
CHN,12,0.288
CHN,13,0.322
CHN,14,0.354
CHN,15,0.349
CHN,16,0.339
CHN,17,0.332
CHN,18,0.321
CHN,19,0.314
CHN,20,0.274
CHN,21,0.223
CIV,34,0.126
CIV,36,0.11
CIV,6,0.103
CIV,7,0.105
CIV,8,0.11
CIV,9,0.182
CIV,38,0.308
CIV,10,0.239
CIV,11,0.305
CIV,12,0.336
CIV,13,0.369
CIV,14,0.413
CIV,15,0.485
CIV,16,0.408
CIV,17,0.398
CIV,18,0.262
CIV,19,0.143
CIV,20,0.128
CIV,21,0.091
CMR,34,0.178
CMR,36,0.181
CMR,6,0.194
CMR,7,0.196
CMR,8,0.153
CMR,9,0.235
CMR,38,0.458
CMR,10,0.32
CMR,11,0.387
CMR,12,0.436
CMR,13,0.463
CMR,14,0.463
CMR,15,0.561
CMR,16,0.614
CMR,17,0.632
CMR,18,0.625
CMR,19,0.62
CMR,20,0.598
CMR,21,0.545
COD,34,0.127
COD,36,0.105
COD,6,0.153
COD,7,0.095
COD,8,0.046
COD,9,0.062
COD,38,0.175
COD,10,0.115
COD,11,0.14
COD,12,0.156
COD,13,0.185
COD,14,0.211
COD,15,0.244
COD,16,0.244
COD,17,0.251
COD,18,0.242
COD,19,0.237
COD,20,0.216
COD,21,0.182
COG,34,0.104
COG,36,0.1
COG,6,0.112
COG,7,0.11
COG,8,0.074
COG,9,0.15
COG,38,0.337
COG,10,0.235
COG,11,0.32
COG,12,0.343
COG,13,0.368
COG,14,0.367
COG,15,0.419
COG,16,0.436
COG,17,0.445
COG,18,0.432
COG,19,0.419
COG,20,0.385
COG,21,0.329
COL,34,0.116
COL,36,0.168
COL,6,0.177
COL,7,0.21
COL,8,0.162
COL,9,0.293
COL,38,0.551
COL,10,0.429
COL,11,0.513
COL,12,0.572
COL,13,0.622
COL,14,0.655
COL,15,0.671
COL,16,0.694
COL,17,0.699
COL,18,0.625
COL,19,0.551
COL,20,0.554
COL,21,0.491
COM,34,0.3
COM,36,0.214
COM,6,0.268
COM,7,0.194
COM,8,0.098
COM,9,0.141
COM,38,0.375
COM,10,0.259
COM,11,0.307
COM,12,0.338
COM,13,0.387
COM,14,0.435
COM,15,0.476
COM,16,0.505
COM,17,0.52
COM,18,0.517
COM,19,0.522
COM,20,0.501
COM,21,0.46
CPV,34,0.157
CPV,36,0.148
CPV,6,0.159
CPV,7,0.158
CPV,8,0.12
CPV,9,0.2
CPV,38,0.384
CPV,10,0.281
CPV,11,0.329
CPV,12,0.365
CPV,13,0.406
CPV,14,0.436
CPV,15,0.475
CPV,16,0.5
CPV,17,0.515
CPV,18,0.495
CPV,19,0.483
CPV,20,0.448
CPV,21,0.393
CRI,34,0.284
CRI,36,0.29
CRI,6,0.29
CRI,7,0.305
CRI,8,0.279
CRI,9,0.407
CRI,38,0.608
CRI,10,0.518
CRI,11,0.593
CRI,12,0.635
CRI,13,0.657
CRI,14,0.676
CRI,15,0.708
CRI,16,0.722
CRI,17,0.73
CRI,18,0.651
CRI,19,0.642
CRI,20,0.601
CRI,21,0.469
CUB,34,0.199
CUB,36,0.197
CUB,6,0.203
CUB,7,0.218
CUB,8,0.166
CUB,9,0.268
